date,cases_new
2020-03-16,34
2020-03-17,124
2020-03-18,158
2020-03-19,143
2020-03-20,175
2020-03-21,127
2020-03-22,21
2020-03-23,242
2020-03-24,194
2020-03-25,170
2020-03-26,263
2020-03-27,196
2020-03-28,127
2020-03-29,44
2020-03-30,171
2020-03-31,112
2020-04-01,191
2020-04-02,129
2020-04-03,117
2020-04-04,71
2020-04-05,39
2020-04-06,77
2020-04-07,87
2020-04-08,80
2020-04-09,71
2020-04-10,48
2020-04-11,12
2020-04-12,19
2020-04-13,3
2020-04-14,75
2020-04-15,50
2020-04-16,44
2020-04-17,55
2020-04-18,19
2020-04-19,8
2020-04-20,31
2020-04-21,48
2020-04-22,18
2020-04-23,9
